fecha_hecho;longitud;latitud;sexo;edad;modalidad
2013-06-23T16:50:00Z;-75,56836900000;6,25277400000;Hombre;29;Arma de fuego
2015-12-22T06:45:00Z;-75,58251100000;6,22117400000;Mujer;30;Ahorcamiento o estrangulamiento
2013-05-08T07:40:00Z;-75,57727600000;6,25273800000;Hombre;29;Cortopunzante
2014-09-03T01:50:00Z;-75,65284600000;6,27352100000;Hombre;21;Arma de fuego
2014-07-13T03:42:00Z;-75,56755900000;6,25840800000;Hombre;21;Arma de fuego
2013-03-06T09:05:00Z;-75,60330500000;6,28571400000;Hombre;19;Arma de fuego
2012-12-24T00:20:00Z;-75,62614700000;6,23475500000;Hombre;24;Arma de fuego
2015-10-06T22:30:00Z;-75,57533400000;6,28798000000;Hombre;28;Arma de fuego
2015-11-19T00:15:00Z;-75,56795500000;6,29715400000;Hombre;24;Arma de fuego
2015-09-27T23:50:00Z;-75,62954400000;6,27009200000;Hombre;22;Arma de fuego
2015-11-07T03:28:00Z;-75,58984900000;6,29377700000;Hombre;15;Arma de fuego
2015-11-22T04:00:00Z;-75,56520500000;6,25240600000;Mujer;17;Cortopunzante
2013-01-13T01:35:00Z;-75,61035200000;6,25852000000;Hombre;23;Arma de fuego
2013-12-15T17:30:00Z;-75,54098700000;6,24696800000;Hombre;40;Cortopunzante
2013-01-16T01:10:00Z;-75,53055200000;6,23098800000;Hombre;17;Explosivo
2016-07-18T05:30:00Z;-75,61287700000;6,27179800000;Hombre;66;Arma de fuego
2016-06-17T00:00:00Z;-75,59119600000;6,28659200000;Hombre;37;Arma de fuego
2016-04-04T23:12:00Z;-75,59827500000;6,28696000000;Hombre;43;Arma de fuego
2016-07-23T01:30:00Z;-75,57119900000;6,25578800000;Hombre;35;Arma de fuego
2016-04-14T10:15:00Z;-75,56559500000;6,28722300000;Hombre;62;Cortopunzante
2016-05-14T00:30:00Z;-75,57253800000;6,24932400000;Mujer;36;Arma de fuego
2016-06-05T19:45:00Z;-75,61665400000;6,25791200000;Hombre;21;Arma de fuego
2016-05-16T22:18:00Z;-75,58704500000;6,20421400000;Hombre;25;Arma de fuego
2016-05-18T07:58:00Z;-75,61525100000;6,26020000000;Hombre;19;Arma de fuego
2016-02-28T15:45:00Z;-75,62832200000;6,25266800000;Hombre;41;Arma de fuego
2016-11-24T06:10:00Z;-75,58389300000;6,22459650000;Hombre;36;Arma de fuego
2016-10-29T00:10:00Z;-75,59926600000;6,27844670000;Hombre;34;Arma de fuego
2016-09-09T06:15:00Z;-75,57497500000;6,23254000000;Hombre;36;Cortopunzante
2016-09-22T22:46:00Z;-75,58005500000;6,25637400000;Mujer;28;Arma de fuego
2016-11-16T04:00:00Z;-75,59892300000;6,25728700000;Hombre;35;Asfixia mecánica
